player_name,role,total_runs,total_wickets,matches_played
Dhruv Jurel,Batter,680.0,0.0,35.0
SO Hetmyer,Batter,1488.0,0.0,78.0
MC Henriques,All-Rounder,1000.0,46.0,60.0
V Kohli,Batter,8671.0,0.0,259.0
JM Bairstow,Batter,1674.0,0.0,52.0
MS Gony,Bowler,0.0,39.0,44.0
KH Pandya,All-Rounder,1756.0,97.0,132.0
JP Faulkner,All-Rounder,527.0,76.0,60.0
MM Sharma,All-Rounder,125.0,149.0,119.0
DA Miller,Batter,3077.0,0.0,133.0
KK Cooper,Bowler,0.0,36.0,25.0
Shivam Mavi,Bowler,0.0,33.0,32.0
I Sharma,Bowler,0.0,100.0,117.0
JO Holder,Bowler,0.0,59.0,46.0
G Gambhir,Batter,4217.0,0.0,151.0
M Vohra,Batter,1083.0,0.0,51.0
KK Ahmed,Bowler,0.0,94.0,71.0
Kuldeep Yadav,All-Rounder,201.0,106.0,96.0
A Nehra,Bowler,0.0,121.0,88.0
RP Singh,Bowler,0.0,100.0,82.0
CA Lynn,Batter,1329.0,0.0,42.0
M Vijay,Batter,2619.0,0.0,105.0
M Markande,Bowler,0.0,37.0,37.0
DL Vettori,Bowler,0.0,34.0,34.0
TM Head,Batter,1146.0,0.0,37.0
JM Sharma,Batter,991.0,0.0,47.0
M Muralitharan,Bowler,0.0,67.0,66.0
KC Sangakkara,Batter,1687.0,0.0,68.0
TG Southee,Bowler,0.0,57.0,54.0
RM Patidar,Batter,1111.0,0.0,38.0
RD Gaikwad,Batter,2502.0,0.0,70.0
T Natarajan,Bowler,0.0,77.0,63.0
P Kumar,All-Rounder,340.0,102.0,119.0
AR Patel,All-Rounder,1916.0,137.0,160.0
Mohammed Siraj,Bowler,0.0,112.0,108.0
CH Gayle,Batter,4997.0,0.0,141.0
DR Smith,All-Rounder,2385.0,27.0,88.0
Noor Ahmad,Bowler,0.0,48.0,37.0
S Dube,Batter,1859.0,0.0,75.0
A Kumble,Bowler,0.0,49.0,42.0
MM Ali,All-Rounder,1167.0,46.0,59.0
AS Rajpoot,Bowler,0.0,24.0,29.0
M Prasidh Krishna,Bowler,0.0,80.0,66.0
Mukesh Kumar,Bowler,0.0,45.0,32.0
HH Pandya,All-Rounder,2758.0,84.0,140.0
