match_id,team1,team2,team1_score,team2_score,season,match_won_by,toss_winner,toss_decision,venue,city,total_runs,win_margin,is_chase_win,season_year
335982,Kolkata Knight Riders,Royal Challengers Bangalore,222.0,82.0,2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,304.0,140.0,False,2007
335983,Chennai Super Kings,Kings XI Punjab,240.0,207.0,2007/08,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,447.0,33.0,False,2007
335984,Rajasthan Royals,Delhi Daredevils,129.0,132.0,2007/08,Delhi Daredevils,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,261.0,3.0,True,2007
335985,Mumbai Indians,Royal Challengers Bangalore,165.0,166.0,2007/08,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,Mumbai,331.0,1.0,True,2007
335986,Deccan Chargers,Kolkata Knight Riders,110.0,112.0,2007/08,Kolkata Knight Riders,Deccan Chargers,bat,Eden Gardens,Kolkata,222.0,2.0,True,2007
335987,Kings XI Punjab,Rajasthan Royals,166.0,168.0,2007/08,Rajasthan Royals,Kings XI Punjab,bat,Sawai Mansingh Stadium,Jaipur,334.0,2.0,True,2007
335988,Deccan Chargers,Delhi Daredevils,142.0,143.0,2007/08,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,285.0,1.0,True,2007
335989,Chennai Super Kings,Mumbai Indians,208.0,202.0,2007/08,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai,410.0,6.0,False,2007
335990,Deccan Chargers,Rajasthan Royals,214.0,217.0,2007/08,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,431.0,3.0,True,2007
335991,Kings XI Punjab,Mumbai Indians,182.0,116.0,2007/08,Kings XI Punjab,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,298.0,66.0,False,2007
335992,Royal Challengers Bangalore,Rajasthan Royals,135.0,138.0,2007/08,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Bangalore,273.0,3.0,True,2007
335993,Kolkata Knight Riders,Chennai Super Kings,147.0,152.0,2007/08,Chennai Super Kings,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai,299.0,5.0,True,2007
335994,Mumbai Indians,Deccan Chargers,154.0,155.0,2007/08,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai,309.0,1.0,True,2007
335995,Delhi Daredevils,Kings XI Punjab,158.0,162.0,2007/08,Kings XI Punjab,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,320.0,4.0,True,2007
335996,Chennai Super Kings,Royal Challengers Bangalore,178.0,165.0,2007/08,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bangalore,343.0,13.0,False,2007
