team,death_avg_runs,middle_avg_runs,powerplay_avg_runs,matches_played,wins,win_pct,chase_wins,chase_played,chase_win_pct
Chennai Super Kings,39.67355371900826,71.67330677290836,53.701195219123505,251,142,56.573705179282875,71,115,61.73913043478261
Deccan Chargers,35.263888888888886,67.13333333333334,51.85333333333333,75,29,38.666666666666664,11,32,34.375
Delhi Capitals,35.666666666666664,72.00952380952381,59.05714285714286,105,51,48.57142857142857,29,58,50.0
Delhi Daredevils,34.779310344827586,67.61006289308176,52.81366459627329,161,67,41.61490683229814,42,89,47.19101123595505
Gujarat Lions,32.892857142857146,70.76666666666667,60.6,30,13,43.333333333333336,12,16,75.0
Gujarat Titans,40.42372881355932,79.71666666666667,58.016666666666666,60,37,61.66666666666667,22,33,66.66666666666666
Kings XI Punjab,35.18079096045198,71.27368421052631,54.18421052631579,190,85,44.73684210526316,46,93,49.46236559139785
Kochi Tuskers Kerala,30.636363636363637,56.785714285714285,54.92857142857143,14,6,42.857142857142854,4,7,57.14285714285714
Kolkata Knight Riders,36.02136752136752,70.76628352490421,54.67424242424242,264,135,51.13636363636363,80,138,57.971014492753625
Lucknow Super Giants,40.67857142857143,80.48275862068965,56.827586206896555,58,30,51.724137931034484,10,25,40.0
Mumbai Indians,39.254826254826256,72.2427536231884,54.08664259927798,277,151,54.51263537906137,75,134,55.970149253731336
Pune Warriors,30.90909090909091,63.48888888888889,47.577777777777776,45,12,26.666666666666668,6,25,24.0
Punjab Kings,39.82089552238806,77.0,59.891891891891895,74,34,45.94594594594595,18,32,56.25
Rajasthan Royals,35.55045871559633,72.1931330472103,54.65811965811966,234,114,48.717948717948715,69,127,54.330708661417326
Rising Pune Supergiant,37.0,64.875,54.8125,16,10,62.5,5,8,62.5
Rising Pune Supergiants,40.27272727272727,62.57142857142857,53.142857142857146,14,5,35.714285714285715,5,7,71.42857142857143
Royal Challengers Bangalore,38.25909090909091,71.08016877637131,51.7875,240,114,47.5,61,119,51.26050420168067
Royal Challengers Bengaluru,42.26923076923077,82.86666666666666,66.6,30,18,60.0,9,13,69.23076923076923
Sunrisers Hyderabad,36.383783783783784,71.04123711340206,56.805128205128206,195,93,47.69230769230769,46,93,49.46236559139785
